Year	iYear	iGDP	iKstkPWT	iKstkO+WnoRD	iKstkO+WwithRD	iKstkS+L	iKservONS2011	iKservONS2015	iKservO+WnoRD	iKservO+WwithRD	iKservS+L	iL	ihLPWT	ihLest	iEpMP	iEfMP	iEuMP	iXpMP	iXfMP	iUMP	iEpIEA	iEfIEA	iXp	iXf	iU	Country	Source
1996	36	3.22	5.23	NA	NA	NA	NA	NA	NA	NA	NA	0.83	1.28	NA	NA	NA	NA	NA	NA	NA	2.60	2.66	2.13	NA	3.11	AT	REXS
1997	37	3.29	5.37	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.30	NA	NA	NA	NA	NA	NA	NA	2.59	2.63	2.14	NA	3.26	AT	REXS
1998	38	3.42	5.52	NA	NA	NA	NA	NA	NA	NA	NA	0.83	1.30	NA	NA	NA	NA	NA	NA	NA	2.63	2.67	2.16	NA	3.31	AT	REXS
1999	39	3.54	5.66	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.33	NA	NA	NA	NA	NA	NA	NA	2.63	2.69	2.19	NA	3.31	AT	REXS
2000	40	3.67	5.80	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.35	NA	NA	NA	NA	NA	NA	NA	2.62	2.71	2.19	NA	3.34	AT	REXS
2001	41	3.70	5.94	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.36	NA	NA	NA	NA	NA	NA	NA	2.78	2.88	NA	NA	NA	AT	REXS
2002	42	3.76	6.04	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.37	NA	NA	NA	NA	NA	NA	NA	2.80	2.89	NA	NA	NA	AT	REXS
2003	43	3.80	6.16	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.38	NA	NA	NA	NA	NA	NA	NA	2.96	3.07	NA	NA	NA	AT	REXS
2004	44	3.89	6.27	NA	NA	NA	NA	NA	NA	NA	NA	0.88	1.41	NA	NA	NA	NA	NA	NA	NA	2.98	3.10	NA	NA	NA	AT	REXS
2005	45	3.99	6.38	NA	NA	NA	NA	NA	NA	NA	NA	0.88	1.42	NA	NA	NA	NA	NA	NA	NA	3.12	3.21	NA	NA	NA	AT	REXS
2006	46	4.13	6.49	NA	NA	NA	NA	NA	NA	NA	NA	0.89	1.44	NA	NA	NA	NA	NA	NA	NA	3.10	3.17	NA	NA	NA	AT	REXS
2007	47	4.29	6.62	NA	NA	NA	NA	NA	NA	NA	NA	0.90	1.47	NA	NA	NA	NA	NA	NA	NA	3.05	3.12	NA	NA	NA	AT	REXS
2008	48	4.35	6.74	NA	NA	NA	NA	NA	NA	NA	NA	0.92	1.49	NA	NA	NA	NA	NA	NA	NA	3.07	3.15	NA	NA	NA	AT	REXS
2009	49	4.18	6.83	NA	NA	NA	NA	NA	NA	NA	NA	0.89	1.45	NA	NA	NA	NA	NA	NA	NA	2.91	3.02	NA	NA	NA	AT	REXS
2010	50	4.27	6.91	NA	NA	NA	NA	NA	NA	NA	NA	0.89	1.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT	REXS
2011	51	4.38	7.02	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT	REXS
2012	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT	REXS
2013	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT	REXS
1960	0	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	1.00	NA	1.00	US	REXS
1961	1	1.02	1.03	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.01	NA	NA	NA	NA	NA	NA	NA	1.01	1.01	1.02	NA	1.05	US	REXS
1962	2	1.09	1.07	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.04	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	NA	1.12	US	REXS
1963	3	1.13	1.11	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.07	NA	NA	NA	NA	NA	NA	NA	1.11	1.11	1.10	NA	1.19	US	REXS
1964	4	1.20	1.16	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.11	NA	NA	NA	NA	NA	NA	NA	1.16	1.16	1.14	NA	1.30	US	REXS
1965	5	1.28	1.21	NA	NA	NA	NA	NA	NA	NA	NA	1.09	1.16	NA	NA	NA	NA	NA	NA	NA	1.20	1.19	1.19	NA	1.42	US	REXS
1966	6	1.36	1.27	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.20	NA	NA	NA	NA	NA	NA	NA	1.27	1.26	1.24	NA	1.53	US	REXS
1967	7	1.39	1.32	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.23	NA	NA	NA	NA	NA	NA	NA	1.33	1.34	1.27	NA	1.61	US	REXS
1968	8	1.46	1.37	NA	NA	NA	NA	NA	NA	NA	NA	1.15	1.26	NA	NA	NA	NA	NA	NA	NA	1.39	1.41	1.33	NA	1.74	US	REXS
1969	9	1.51	1.43	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.30	NA	NA	NA	NA	NA	NA	NA	1.46	1.45	1.38	NA	1.82	US	REXS
1970	10	1.51	1.48	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.30	NA	NA	NA	NA	NA	NA	NA	1.52	1.49	1.43	NA	1.90	US	REXS
1971	11	1.56	1.53	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.30	NA	NA	NA	NA	NA	NA	NA	1.56	1.52	1.47	NA	1.99	US	REXS
1972	12	1.65	1.59	NA	NA	NA	NA	NA	NA	NA	NA	1.19	1.35	NA	NA	NA	NA	NA	NA	NA	1.64	1.59	1.56	NA	2.14	US	REXS
1973	13	1.74	1.66	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.41	NA	NA	NA	NA	NA	NA	NA	1.70	1.63	1.63	NA	2.23	US	REXS
1974	14	1.73	1.71	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.43	NA	NA	NA	NA	NA	NA	NA	1.66	1.58	1.62	NA	2.16	US	REXS
1975	15	1.73	1.76	NA	NA	NA	NA	NA	NA	NA	NA	1.20	1.41	NA	NA	NA	NA	NA	NA	NA	1.62	1.52	1.62	NA	2.14	US	REXS
1976	16	1.83	1.80	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.47	NA	NA	NA	NA	NA	NA	NA	1.73	1.61	1.67	NA	2.20	US	REXS
1977	17	1.91	1.86	NA	NA	NA	NA	NA	NA	NA	NA	1.29	1.53	NA	NA	NA	NA	NA	NA	NA	1.79	1.66	1.70	NA	2.21	US	REXS
1978	18	2.02	1.93	NA	NA	NA	NA	NA	NA	NA	NA	1.34	1.60	NA	NA	NA	NA	NA	NA	NA	1.84	1.69	1.73	NA	2.26	US	REXS
1979	19	2.08	2.00	NA	NA	NA	NA	NA	NA	NA	NA	1.37	1.65	NA	NA	NA	NA	NA	NA	NA	1.84	1.70	1.73	NA	2.30	US	REXS
1980	20	2.08	2.06	NA	NA	NA	NA	NA	NA	NA	NA	1.36	1.65	NA	NA	NA	NA	NA	NA	NA	1.77	1.63	1.69	NA	2.22	US	REXS
1981	21	2.13	2.12	NA	NA	NA	NA	NA	NA	NA	NA	1.37	1.66	NA	NA	NA	NA	NA	NA	NA	1.72	1.60	1.69	NA	2.20	US	REXS
1982	22	2.09	2.16	NA	NA	NA	NA	NA	NA	NA	NA	1.35	1.64	NA	NA	NA	NA	NA	NA	NA	1.65	1.52	1.65	NA	2.13	US	REXS
1983	23	2.18	2.21	NA	NA	NA	NA	NA	NA	NA	NA	1.38	1.68	NA	NA	NA	NA	NA	NA	NA	1.65	1.50	1.66	NA	2.14	US	REXS
1984	24	2.34	2.27	NA	NA	NA	NA	NA	NA	NA	NA	1.45	1.77	NA	NA	NA	NA	NA	NA	NA	1.72	1.59	1.69	NA	2.20	US	REXS
1985	25	2.43	2.34	NA	NA	NA	NA	NA	NA	NA	NA	1.48	1.80	NA	NA	NA	NA	NA	NA	NA	1.74	1.57	1.69	NA	2.23	US	REXS
1986	26	2.52	2.41	NA	NA	NA	NA	NA	NA	NA	NA	1.51	1.84	NA	NA	NA	NA	NA	NA	NA	1.74	1.57	1.74	NA	2.27	US	REXS
1987	27	2.60	2.48	NA	NA	NA	NA	NA	NA	NA	NA	1.55	1.89	NA	NA	NA	NA	NA	NA	NA	1.81	1.62	1.77	NA	2.31	US	REXS
1988	28	2.70	2.55	NA	NA	NA	NA	NA	NA	NA	NA	1.58	1.94	NA	NA	NA	NA	NA	NA	NA	1.88	1.70	1.81	NA	2.42	US	REXS
1989	29	2.80	2.61	NA	NA	NA	NA	NA	NA	NA	NA	1.62	1.99	NA	NA	NA	NA	NA	NA	NA	1.91	1.64	1.86	NA	2.54	US	REXS
1990	30	2.85	2.68	NA	NA	NA	NA	NA	NA	NA	NA	1.62	2.00	NA	NA	NA	NA	NA	NA	NA	1.88	1.60	1.87	NA	2.58	US	REXS
1991	31	2.84	2.73	NA	NA	NA	NA	NA	NA	NA	NA	1.59	1.97	NA	NA	NA	NA	NA	NA	NA	1.89	1.61	1.88	NA	2.57	US	REXS
1992	32	2.94	2.78	NA	NA	NA	NA	NA	NA	NA	NA	1.60	1.99	NA	NA	NA	NA	NA	NA	NA	1.93	1.61	1.90	NA	2.67	US	REXS
1993	33	3.02	2.84	NA	NA	NA	NA	NA	NA	NA	NA	1.63	2.03	NA	NA	NA	NA	NA	NA	NA	1.97	1.64	1.94	NA	2.70	US	REXS
1994	34	3.15	2.91	NA	NA	NA	NA	NA	NA	NA	NA	1.67	2.10	NA	NA	NA	NA	NA	NA	NA	2.00	1.68	1.98	NA	2.80	US	REXS
1995	35	3.23	2.99	NA	NA	NA	NA	NA	NA	NA	NA	1.69	2.14	NA	NA	NA	NA	NA	NA	NA	2.03	1.71	2.00	NA	2.89	US	REXS
1996	36	3.35	3.08	NA	NA	NA	NA	NA	NA	NA	NA	1.71	2.17	NA	NA	NA	NA	NA	NA	NA	2.07	1.76	2.05	NA	2.96	US	REXS
1997	37	3.50	3.18	NA	NA	NA	NA	NA	NA	NA	NA	1.76	2.23	NA	NA	NA	NA	NA	NA	NA	2.09	1.78	2.10	NA	3.04	US	REXS
1998	38	3.66	3.28	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.27	NA	NA	NA	NA	NA	NA	NA	2.11	1.78	2.15	NA	3.12	US	REXS
1999	39	3.83	3.40	NA	NA	NA	NA	NA	NA	NA	NA	1.83	2.32	NA	NA	NA	NA	NA	NA	NA	2.17	1.85	2.17	NA	3.21	US	REXS
2000	40	3.99	3.51	NA	NA	NA	NA	NA	NA	NA	NA	1.85	2.35	NA	NA	NA	NA	NA	NA	NA	2.23	1.92	2.20	NA	3.16	US	REXS
2001	41	4.04	3.62	NA	NA	NA	NA	NA	NA	NA	NA	1.83	2.33	NA	NA	NA	NA	NA	NA	NA	2.19	1.88	NA	NA	NA	US	REXS
2002	42	4.11	3.70	NA	NA	NA	NA	NA	NA	NA	NA	1.82	2.33	NA	NA	NA	NA	NA	NA	NA	2.21	1.90	NA	NA	NA	US	REXS
2003	43	4.22	3.79	NA	NA	NA	NA	NA	NA	NA	NA	1.83	2.35	NA	NA	NA	NA	NA	NA	NA	2.22	1.92	NA	NA	NA	US	REXS
2004	44	4.36	3.89	NA	NA	NA	NA	NA	NA	NA	NA	1.85	2.38	NA	NA	NA	NA	NA	NA	NA	2.26	1.95	NA	NA	NA	US	REXS
2005	45	4.50	3.99	NA	NA	NA	NA	NA	NA	NA	NA	1.88	2.43	NA	NA	NA	NA	NA	NA	NA	2.27	1.95	NA	NA	NA	US	REXS
2006	46	4.62	4.09	NA	NA	NA	NA	NA	NA	NA	NA	1.92	2.48	NA	NA	NA	NA	NA	NA	NA	2.25	1.94	NA	NA	NA	US	REXS
2007	47	4.71	4.19	NA	NA	NA	NA	NA	NA	NA	NA	1.94	2.51	NA	NA	NA	NA	NA	NA	NA	2.29	1.96	NA	NA	NA	US	REXS
2008	48	4.69	4.26	NA	NA	NA	NA	NA	NA	NA	NA	1.92	2.49	NA	NA	NA	NA	NA	NA	NA	2.23	1.91	NA	NA	NA	US	REXS
2009	49	4.54	4.29	NA	NA	NA	NA	NA	NA	NA	NA	1.82	2.37	NA	NA	NA	NA	NA	NA	NA	2.12	1.81	NA	NA	NA	US	REXS
2010	50	4.65	4.32	NA	NA	NA	NA	NA	NA	NA	NA	1.83	2.39	NA	NA	NA	NA	NA	NA	NA	2.19	NA	NA	NA	NA	US	REXS
2011	51	4.73	4.35	NA	NA	NA	NA	NA	NA	NA	NA	1.85	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	US	REXS
2012	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	US	REXS
2013	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	US	REXS
1960	0	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	1.00	NA	1.00	JP	REXS
1961	1	1.12	1.14	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.01	NA	NA	NA	NA	NA	NA	NA	1.13	1.13	1.04	NA	1.05	JP	REXS
1962	2	1.22	1.26	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.01	NA	NA	NA	NA	NA	NA	NA	1.19	1.22	1.11	NA	1.11	JP	REXS
1963	3	1.32	1.39	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.01	NA	NA	NA	NA	NA	NA	NA	1.36	1.39	1.14	NA	1.21	JP	REXS
1964	4	1.48	1.54	NA	NA	NA	NA	NA	NA	NA	NA	1.04	1.03	NA	NA	NA	NA	NA	NA	NA	1.53	1.61	1.30	NA	1.41	JP	REXS
1965	5	1.56	1.69	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.03	NA	NA	NA	NA	NA	NA	NA	1.67	1.74	1.34	NA	1.53	JP	REXS
1966	6	1.73	1.86	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.06	NA	NA	NA	NA	NA	NA	NA	1.82	2.02	1.47	NA	1.70	JP	REXS
1967	7	1.91	2.09	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.10	NA	NA	NA	NA	NA	NA	NA	2.14	2.36	1.66	NA	1.97	JP	REXS
1968	8	2.16	2.36	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.12	NA	NA	NA	NA	NA	NA	NA	2.42	2.64	1.83	NA	2.26	JP	REXS
1969	9	2.45	2.65	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.13	NA	NA	NA	NA	NA	NA	NA	2.80	3.06	2.06	NA	2.62	JP	REXS
1970	10	3.33	3.03	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.14	NA	NA	NA	NA	NA	NA	NA	3.17	3.26	2.17	NA	2.76	JP	REXS
1971	11	3.49	3.41	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.16	NA	NA	NA	NA	NA	NA	NA	3.31	3.50	2.21	NA	2.84	JP	REXS
1972	12	3.78	3.81	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.17	NA	NA	NA	NA	NA	NA	NA	3.54	3.73	2.37	NA	3.11	JP	REXS
1973	13	4.09	4.26	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.20	NA	NA	NA	NA	NA	NA	NA	3.96	4.11	2.50	NA	3.25	JP	REXS
1974	14	4.04	4.66	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.17	NA	NA	NA	NA	NA	NA	NA	3.99	4.03	2.46	NA	3.21	JP	REXS
1975	15	4.16	5.05	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.16	NA	NA	NA	NA	NA	NA	NA	3.77	3.84	2.45	NA	3.16	JP	REXS
1976	16	4.33	5.44	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.19	NA	NA	NA	NA	NA	NA	NA	4.01	4.05	2.52	NA	3.26	JP	REXS
1977	17	4.52	5.84	NA	NA	NA	NA	NA	NA	NA	NA	1.14	1.22	NA	NA	NA	NA	NA	NA	NA	4.08	4.10	2.57	NA	3.28	JP	REXS
1978	18	4.76	6.29	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.24	NA	NA	NA	NA	NA	NA	NA	4.12	4.20	2.73	NA	3.51	JP	REXS
1979	19	5.02	6.76	NA	NA	NA	NA	NA	NA	NA	NA	1.18	1.27	NA	NA	NA	NA	NA	NA	NA	4.36	4.34	2.80	NA	3.66	JP	REXS
1980	20	5.16	7.23	NA	NA	NA	NA	NA	NA	NA	NA	1.19	1.29	NA	NA	NA	NA	NA	NA	NA	4.26	4.07	2.91	NA	3.92	JP	REXS
1981	21	5.37	7.71	NA	NA	NA	NA	NA	NA	NA	NA	1.19	1.30	NA	NA	NA	NA	NA	NA	NA	4.17	3.97	2.76	NA	3.58	JP	REXS
1982	22	5.55	8.17	NA	NA	NA	NA	NA	NA	NA	NA	1.20	1.32	NA	NA	NA	NA	NA	NA	NA	4.16	3.94	2.71	NA	3.45	JP	REXS
1983	23	5.72	8.59	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.35	NA	NA	NA	NA	NA	NA	NA	4.17	4.01	2.89	NA	3.72	JP	REXS
1984	24	5.98	9.02	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.37	NA	NA	NA	NA	NA	NA	NA	4.48	4.23	2.98	NA	3.82	JP	REXS
1985	25	6.36	9.50	NA	NA	NA	NA	NA	NA	NA	NA	1.22	1.38	NA	NA	NA	NA	NA	NA	NA	4.49	4.23	3.04	NA	3.92	JP	REXS
1986	26	6.54	9.99	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.39	NA	NA	NA	NA	NA	NA	NA	4.54	4.29	3.11	NA	3.98	JP	REXS
1987	27	6.81	10.53	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.40	NA	NA	NA	NA	NA	NA	NA	4.60	4.41	3.20	NA	4.08	JP	REXS
1988	28	7.29	11.17	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.41	NA	NA	NA	NA	NA	NA	NA	4.92	4.67	3.29	NA	4.19	JP	REXS
1989	29	7.69	11.86	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.42	NA	NA	NA	NA	NA	NA	NA	5.10	4.84	3.39	NA	4.29	JP	REXS
1990	30	8.11	12.60	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.42	NA	NA	NA	NA	NA	NA	NA	5.43	5.27	3.51	NA	4.40	JP	REXS
1991	31	8.38	13.34	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.44	NA	NA	NA	NA	NA	NA	NA	5.49	5.35	3.60	NA	4.48	JP	REXS
1992	32	8.45	14.00	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.44	NA	NA	NA	NA	NA	NA	NA	5.62	5.40	3.63	NA	4.41	JP	REXS
1993	33	8.47	14.60	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.42	NA	NA	NA	NA	NA	NA	NA	5.66	5.44	3.70	NA	4.49	JP	REXS
1994	34	8.54	15.14	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.43	NA	NA	NA	NA	NA	NA	NA	5.98	5.62	3.84	NA	4.63	JP	REXS
1995	35	8.71	15.68	NA	NA	NA	NA	NA	NA	NA	NA	1.20	1.43	NA	NA	NA	NA	NA	NA	NA	6.14	5.82	3.95	NA	4.78	JP	REXS
1996	36	8.93	16.23	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.45	NA	NA	NA	NA	NA	NA	NA	6.27	5.91	4.01	NA	4.80	JP	REXS
1997	37	9.08	16.76	NA	NA	NA	NA	NA	NA	NA	NA	1.20	1.45	NA	NA	NA	NA	NA	NA	NA	6.34	5.95	4.05	NA	4.90	JP	REXS
1998	38	8.89	17.15	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.42	NA	NA	NA	NA	NA	NA	NA	6.23	5.86	4.08	NA	4.88	JP	REXS
1999	39	8.88	17.52	NA	NA	NA	NA	NA	NA	NA	NA	1.15	1.39	NA	NA	NA	NA	NA	NA	NA	6.34	6.02	4.17	NA	4.95	JP	REXS
2000	40	9.08	17.88	NA	NA	NA	NA	NA	NA	NA	NA	1.15	1.40	NA	NA	NA	NA	NA	NA	NA	6.42	6.06	4.31	NA	5.11	JP	REXS
2001	41	9.11	18.20	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.38	NA	NA	NA	NA	NA	NA	NA	6.32	5.98	NA	NA	NA	JP	REXS
2002	42	9.14	18.44	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.35	NA	NA	NA	NA	NA	NA	NA	6.31	6.06	NA	NA	NA	JP	REXS
2003	43	9.29	18.66	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.36	NA	NA	NA	NA	NA	NA	NA	6.26	6.01	NA	NA	NA	JP	REXS
2004	44	9.51	18.88	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.37	NA	NA	NA	NA	NA	NA	NA	6.46	6.09	NA	NA	NA	JP	REXS
2005	45	9.63	19.10	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.38	NA	NA	NA	NA	NA	NA	NA	6.44	6.09	NA	NA	NA	JP	REXS
2006	46	9.80	19.32	NA	NA	NA	NA	NA	NA	NA	NA	1.11	1.40	NA	NA	NA	NA	NA	NA	NA	6.43	6.07	NA	NA	NA	JP	REXS
2007	47	10.01	19.52	NA	NA	NA	NA	NA	NA	NA	NA	1.11	1.40	NA	NA	NA	NA	NA	NA	NA	6.37	6.01	NA	NA	NA	JP	REXS
2008	48	9.91	19.68	NA	NA	NA	NA	NA	NA	NA	NA	1.10	1.39	NA	NA	NA	NA	NA	NA	NA	6.13	5.60	NA	NA	NA	JP	REXS
2009	49	9.36	19.73	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.34	NA	NA	NA	NA	NA	NA	NA	5.84	5.50	NA	NA	NA	JP	REXS
2010	50	9.77	19.77	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.35	NA	NA	NA	NA	NA	NA	NA	6.12	NA	NA	NA	NA	JP	REXS
2011	51	9.70	19.82	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JP	REXS
2012	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JP	REXS
2013	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JP	REXS
